▶ running per-file parallel test suite via run_tests_parallel.py
  (TZ=UTC LANG=C.UTF-8 PYTHONHASHSEED=0; clean env)
Discovered 1976 test files (~37961 tests) under ['tests']; running with -j 28
[  0.0% |     5/~37961 | ✓5 | ✗0] ✓ tests/acp_adapter/test_detect_provider_entra.py (5✓, 7.9s)
[ 18.3% |  6933/~37961 | ✓7440 | ✗   3] ✓ tests/gateway/test_busy_session_auth_bypass.py (4✓, 3.1s)
[ 18.3% |  6951/~37961 | ✓7458 | ✗   3] ✓ tests/gateway/test_api_server_normalize.py (18✓, 8.4s)
[ 18.3% |  6963/~37961 | ✓7470 | ✗   3] ✓ tests/gateway/test_async_delivery_capability.py (12✓, 7.1s)
[ 18.4% |  6978/~37961 | ✓7485 | ✗   3] ✓ tests/gateway/test_api_server_toolset.py (15✓, 8.2s)
[ 18.4% |  6984/~37961 | ✓7491 | ✗   3] ✓ tests/gateway/test_bounded_adapter_teardown.py (6✓, 4.1s)
[ 18.4% |  6994/~37961 | ✓7501 | ✗   3] ✓ tests/gateway/test_base_topic_sessions.py (10✓, 5.3s)
[ 18.4% |  6997/~37961 | ✓7504 | ✗   3] ✓ tests/gateway/test_cancel_background_drain.py (3✓, 3.1s)
[ 18.5% |  7007/~37961 | ✓7518 | ✗   3] ✓ tests/gateway/test_async_session_db.py (14✓, 8.0s)
[ 18.5% |  7008/~37961 | ✓7519 | ✗   3] ✓ tests/gateway/test_clarify_active_session_bypass.py (1✓, 2.3s)
[ 18.5% |  7010/~37961 | ✓7521 | ✗   3] ✓ tests/gateway/test_channel_directory_connected_only.py (2✓, 2.7s)
[ 18.5% |  7033/~37961 | ✓7544 | ✗   3] ✓ tests/gateway/test_api_server_multimodal.py (23✓, 10.6s)
[ 18.5% |  7039/~37961 | ✓7550 | ✗   3] ✓ tests/gateway/test_cgroup_cleanup.py (6✓, 4.0s)
[ 18.5% |  7041/~37961 | ✓7552 | ✗   3] ✓ tests/gateway/test_compress_plugin_engine.py (2✓, 3.4s)
[ 18.6% |  7043/~37961 | ✓7554 | ✗   3] ✓ tests/gateway/test_compress_focus.py (2✓, 3.7s)
[ 18.6% |  7049/~37961 | ✓7560 | ✗   3] ✓ tests/gateway/test_compress_preview.py (6✓, 4.6s)
[ 18.6% |  7052/~37961 | ✓7563 | ✗   3] ✓ tests/gateway/test_compression_failure_session_sync.py (3✓, 3.6s)
[ 18.6% |  7075/~37961 | ✓7586 | ✗   3] ✓ tests/gateway/test_api_server_runs.py (23✓, 13.2s)
[ 18.7% |  7097/~37961 | ✓7607 | ✗   4] ✗ tests/gateway/test_background_command.py (21✓ 1✗, 11.5s)

  ╔╍ Failed: tests/gateway/test_background_command.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║         mock_adapter.send_document = AsyncMock()
  ║         mock_adapter.send_image = AsyncMock()
  ║         # No text, no markdown images — just the four media attachments.
  ║         mock_adapter.extract_media = MagicMock(return_value=(media, ""))
  ║         mock_adapter.extract_images = MagicMock(return_value=([], ""))
  ║         # Non-telegram platform so every audio ext routes through send_voice.
  ║         runner.adapters[Platform.DISCORD] = mock_adapter
  ║     
  ║         source = SessionSource(
  ║             platform=Platform.DISCORD,
  ║             user_id="12345",
  ║             chat_id="67890",
  ║             user_name="testuser",
  ║         )
  ║     
  ║         try:
  ║             await runner._run_background_task("make stuff", source, "bg_test")
  ║     
  ║             mock_adapter.send_voice.assert_called_once()
  ║ >           assert mock_adapter.send_voice.call_args.kwargs["audio_path"] == _ogg
  ║ E           AssertionError: assert '/private/tmp...d_3w/clip.ogg' == '/tmp/bg_medi...d_3w/clip.ogg'
  ║ E             
  ║ E             - /tmp/bg_media_ymrvd_3w/clip.ogg
  ║ E             + /private/tmp/bg_media_ymrvd_3w/clip.ogg
  ║ E             ? ++++++++
  ║ 
  ║ tests/gateway/test_background_command.py:341: AssertionError
  ║ =========================== short test summary info ============================
  ║ FAILED tests/gateway/test_background_command.py::TestRunBackgroundTask::test_media_files_routed_by_type
  ║ ======================== 1 failed, 21 passed in 10.49s =========================
  ║
  ║  Repro: python -m pytest tests/gateway/test_background_command.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 18.8% |  7124/~37961 | ✓7634 | ✗   4] ✓ tests/gateway/test_allowed_channels_widening.py (27✓, 15.1s)
[ 18.8% |  7128/~37961 | ✓7638 | ✗   4] ✓ tests/gateway/test_compression_session_id_persistence.py (4✓, 3.8s)
[ 18.8% |  7139/~37961 | ✓7649 | ✗   4] ✓ tests/gateway/test_clean_shutdown_marker.py (11✓, 6.6s)
[ 18.9% |  7167/~37961 | ✓7677 | ✗   4] ✓ tests/gateway/test_approve_deny_commands.py (28✓, 14.2s)
[ 18.9% |  7174/~37961 | ✓7684 | ✗   4] ✓ tests/gateway/test_compression_interrupt_demotion_56391.py (7✓, 4.9s)
[ 18.9% |  7184/~37961 | ✓7694 | ✗   4] ✓ tests/gateway/test_compress_command.py (10✓, 6.8s)
[ 19.0% |  7199/~37961 | ✓7709 | ✗   4] ✓ tests/gateway/test_channel_overrides.py (15✓, 8.0s)
[ 19.0% |  7201/~37961 | ✓7711 | ✗   4] ✓ tests/gateway/test_compression_concurrent_sessions.py (2✓, 7.4s)
[ 19.0% |  7226/~37961 | ✓7742 | ✗   4] ✓ tests/gateway/test_background_process_notifications.py (31✓, 14.2s)
[ 19.0% |  7228/~37961 | ✓7744 | ✗   4] ✓ tests/gateway/test_debug_command.py (2✓, 2.6s)
[ 19.0% |  7231/~37961 | ✓7747 | ✗   4] ✓ tests/gateway/test_cron_shutdown_drain.py (3✓, 3.4s)
[ 19.2% |  7271/~37961 | ✓7787 | ✗   4] ✓ tests/gateway/test_api_server_jobs.py (40✓, 17.3s)
[ 19.2% |  7297/~37961 | ✓7813 | ✗   4] ✓ tests/gateway/test_busy_session_ack.py (26✓, 12.1s)
[ 19.3% |  7312/~37961 | ✓7828 | ✗   4] ✓ tests/gateway/test_complete_path_at_filter.py (15✓, 8.7s)
[ 19.3% |  7317/~37961 | ✓7833 | ✗   4] ✓ tests/gateway/test_cron_fire_webhook.py (5✓, 4.1s)
[ 19.3% |  7324/~37961 | ✓7840 | ✗   4] ✓ tests/gateway/test_cwd_placeholder.py (7✓, 4.4s)
[ 19.3% |  7332/~37961 | ✓7848 | ✗   4] ✓ tests/gateway/test_config_env_bridge_authority.py (8✓, 6.3s)
[ 19.3% |  7339/~37961 | ✓7855 | ✗   4] ✓ tests/gateway/test_dedupe_user_turns.py (7✓, 4.5s)
[ 19.4% |  7348/~37961 | ✓7864 | ✗   4] ✓ tests/gateway/test_cron_active_work_drain.py (9✓, 6.0s)
[ 19.4% |  7354/~37961 | ✓7870 | ✗   4] ✓ tests/gateway/test_destructive_slash_confirm.py (6✓, 4.1s)
[ 19.4% |  7357/~37961 | ✓7873 | ✗   4] ✓ tests/gateway/test_discord_approval_mentions.py (3✓, 2.9s)
[ 19.4% |  7363/~37961 | ✓7879 | ✗   4] ✓ tests/gateway/test_discord_channel_skills.py (6✓, 3.8s)
[ 19.4% |  7372/~37961 | ✓7888 | ✗   4] ✓ tests/gateway/test_discord_bot_auth_bypass.py (9✓, 5.4s)
[ 19.4% |  7382/~37961 | ✓7898 | ✗   4] ✓ tests/gateway/test_discord_channel_prompts.py (10✓, 5.4s)
[ 19.6% |  7435/~37961 | ✓7951 | ✗   4] ✓ tests/cli/test_worktree.py (53✓, 42.4s)
[ 19.6% |  7448/~37961 | ✓7964 | ✗   4] ✓ tests/gateway/test_discord_bot_filter.py (13✓, 6.9s)
[ 19.7% |  7462/~37961 | ✓7978 | ✗   4] ✓ tests/gateway/test_discord_attachment_download.py (14✓, 7.2s)
[ 19.7% |  7477/~37961 | ✓7993 | ✗   4] ✓ tests/gateway/test_discord_allowed_channels.py (15✓, 7.4s)
[ 19.8% |  7516/~37961 | ✓8032 | ✗   4] ✓ tests/gateway/test_channel_directory.py (39✓, 17.3s)
[ 19.9% |  7547/~37961 | ✓8063 | ✗   4] ✓ tests/gateway/test_config_cwd_bridge.py (31✓, 13.8s)
[ 19.9% |  7549/~37961 | ✓8065 | ✗   4] ✓ tests/gateway/test_discord_exec_approval_content.py (2✓, 2.5s)
[ 19.9% |  7554/~37961 | ✓8084 | ✗   4] ✓ tests/gateway/test_discord_allowed_mentions.py (19✓, 8.9s)
[ 19.9% |  7572/~37961 | ✓8110 | ✗   4] ✓ tests/gateway/test_dead_targets.py (26✓, 11.8s)
[ 20.0% |  7584/~37961 | ✓8122 | ✗   4] ✓ tests/gateway/test_discord_double_dispatch.py (12✓, 6.4s)
[ 20.0% |  7588/~37961 | ✓8126 | ✗   4] ✓ tests/gateway/test_discord_format.py (4✓, 3.4s)
[ 20.1% |  7615/~37961 | ✓8166 | ✗   4] ✓ tests/gateway/test_command_bypass_active_session.py (40✓, 18.1s)
[ 20.1% |  7616/~37961 | ✓8167 | ✗   4] ✓ tests/gateway/test_discord_imports.py (1✓, 2.3s)
[ 20.1% |  7620/~37961 | ✓8171 | ✗   4] ✓ tests/gateway/test_discord_fail_closed_feedback.py (4✓, 3.7s)
[ 20.1% |  7621/~37961 | ✓8172 | ✗   4] ✓ tests/gateway/test_discord_media_metadata.py (1✓, 2.3s)
[ 20.1% |  7623/~37961 | ✓8174 | ✗   4] ✓ tests/gateway/test_discord_lazy_install_views.py (2✓, 2.8s)
[ 20.2% |  7651/~37961 | ✓8202 | ✗   4] ✓ tests/gateway/test_delivery.py (28✓, 12.2s)
[ 20.2% |  7667/~37961 | ✓8218 | ✗   4] ✓ tests/gateway/test_discord_channel_controls.py (16✓, 10.6s)
[ 20.2% |  7668/~37961 | ✓8219 | ✗   4] ✓ tests/gateway/test_discord_pending_text_batch_shutdown.py (1✓, 2.1s)
[ 20.2% |  7669/~37961 | ✓8220 | ✗   4] ✓ tests/gateway/test_discord_race_polish.py (1✓, 2.1s)
[ 20.2% |  7674/~37961 | ✓8225 | ✗   4] ✓ tests/gateway/test_discord_liveness.py (5✓, 4.4s)
[ 20.2% |  7678/~37961 | ✓8229 | ✗   4] ✓ tests/gateway/test_discord_model_picker.py (4✓, 3.7s)
[ 20.3% |  7699/~37961 | ✓8250 | ✗   4] ✓ tests/gateway/test_discord_clarify_buttons.py (21✓, 10.2s)
[ 20.3% |  7703/~37961 | ✓8254 | ✗   4] ✓ tests/gateway/test_discord_opus.py (4✓, 3.3s)
[ 20.3% |  7722/~37961 | ✓8273 | ✗   4] ✓ tests/gateway/test_discord_document_handling.py (19✓, 10.0s)
[ 20.4% |  7727/~37961 | ✓8278 | ✗   4] ✓ tests/gateway/test_discord_prompt_content_siblings.py (5✓, 3.6s)
[ 20.4% |  7742/~37961 | ✓8293 | ✗   4] ✓ tests/gateway/test_discord_edit_message_overflow.py (15✓, 7.6s)
[ 20.4% |  7743/~37961 | ✓8294 | ✗   4] ✓ tests/gateway/test_discord_sync_limit.py (1✓, 2.0s)
[ 20.4% |  7750/~37961 | ✓8301 | ✗   4] ✓ tests/gateway/test_discord_reactions.py (7✓, 4.4s)
[ 20.5% |  7768/~37961 | ✓8324 | ✗   4] ✓ tests/gateway/test_discord_connect.py (23✓, 11.7s)
[ 20.5% |  7781/~37961 | ✓8362 | ✗   4] ✓ tests/gateway/test_delivery_silence_filter.py (38✓, 16.2s)
[ 20.5% |  7784/~37961 | ✓8365 | ✗   4] ✓ tests/gateway/test_discord_thread_slash_expired_defer.py (3✓, 2.8s)
[ 20.7% |  7841/~37961 | ✓8425 | ✗   4] ✓ tests/gateway/test_bluebubbles.py (60✓, 28.0s)
[ 20.7% |  7849/~37961 | ✓8433 | ✗   4] ✓ tests/gateway/test_discord_system_messages.py (8✓, 4.6s)
[ 20.7% |  7863/~37961 | ✓8447 | ✗   4] ✓ tests/gateway/test_discord_prompt_timeout_config.py (14✓, 6.8s)
[ 20.7% |  7871/~37961 | ✓8455 | ✗   4] ✓ tests/gateway/test_discord_thread_persistence.py (8✓, 4.7s)
[ 20.9% |  7949/~37961 | ✓8533 | ✗   4] ✓ tests/gateway/test_agent_cache.py (78✓, 34.6s)
[ 21.0% |  7964/~37961 | ✓8548 | ✗   4] ✓ tests/gateway/test_discord_roles_dm_scope.py (15✓, 7.2s)
[ 21.0% |  7967/~37961 | ✓8556 | ✗   4] ✓ tests/gateway/test_document_context_note.py (8✓, 4.6s)
[ 21.0% |  7972/~37961 | ✓8561 | ✗   4] ✓ tests/gateway/test_env_flag_truthy.py (5✓, 3.7s)
[ 21.0% |  7990/~37961 | ✓8579 | ✗   4] ✓ tests/gateway/test_discord_send.py (18✓, 8.8s)
[ 21.4% |  8107/~37961 | ✓8700 | ✗   4] ✓ tests/cron/test_jobs.py (121✓, 48.8s)
[ 21.4% |  8116/~37961 | ✓8709 | ✗   4] ✓ tests/gateway/test_email_robustness.py (9✓, 5.2s)
[ 21.4% |  8120/~37961 | ✓8713 | ✗   4] ✓ tests/gateway/test_fallback_eviction.py (4✓, 3.3s)
[ 21.5% |  8156/~37961 | ✓8754 | ✗   4] ✓ tests/gateway/test_discord_component_auth.py (41✓, 17.5s)
[ 21.5% |  8165/~37961 | ✓8763 | ✗   4] ✓ tests/gateway/test_empty_model_recovery.py (9✓, 5.6s)
[ 21.6% |  8184/~37961 | ✓8782 | ✗   4] ✓ tests/gateway/test_discord_voice_mixer.py (19✓, 9.2s)
[ 21.6% |  8190/~37961 | ✓8788 | ✗   4] ✓ tests/gateway/test_fast_command.py (6✓, 4.5s)
[ 21.6% |  8200/~37961 | ✓8798 | ✗   4] ✓ tests/gateway/test_fallback_chain_reload.py (10✓, 5.9s)
[ 21.6% |  8214/~37961 | ✓8812 | ✗   4] ✓ tests/gateway/test_ephemeral_reply.py (14✓, 7.5s)
[ 21.7% |  8220/~37961 | ✓8818 | ✗   4] ✓ tests/gateway/test_feishu_bot_auth_bypass.py (6✓, 4.9s)
[ 21.7% |  8244/~37961 | ✓8842 | ✗   4] ✓ tests/gateway/test_duplicate_reply_suppression.py (24✓, 11.4s)
[ 21.8% |  8267/~37961 | ✓8913 | ✗   4] ✓ tests/gateway/test_config_driven_access_policy.py (71✓, 30.0s)
[ 21.8% |  8269/~37961 | ✓8915 | ✗   4] ✓ tests/gateway/test_first_turn_session_meta_rebaseline.py (2✓, 3.2s)
[ 21.9% |  8302/~37961 | ✓8948 | ✗   4] ✓ tests/gateway/test_discord_reply_mode.py (33✓, 17.6s)
[ 21.9% |  8308/~37961 | ✓8954 | ✗   4] ✓ tests/gateway/test_feishu_channel_prompts.py (6✓, 7.9s)
[ 21.9% |  8332/~37961 | ✓8987 | ✗   4] ✓ tests/gateway/test_document_cache.py (33✓, 14.6s)
[ 22.0% |  8336/~37961 | ✓8991 | ✗   4] ✓ tests/gateway/test_gateway_command_help.py (4✓, 3.5s)
[ 22.1% |  8408/~37961 | ✓9059 | ✗   4] ✓ tests/gateway/test_dingtalk.py (68✓, 28.9s)
[ 22.3% |  8448/~37961 | ✓9100 | ✗   4] ✓ tests/gateway/test_discord_slash_auth.py (41✓, 17.9s)
[ 22.3% |  8457/~37961 | ✓9109 | ✗   4] ✓ tests/gateway/test_fresh_reset_skill_injection.py (9✓, 5.5s)
[ 22.3% |  8466/~37961 | ✓9118 | ✗   4] ✓ tests/gateway/test_feishu_meeting_invite.py (9✓, 9.0s)
[ 22.3% |  8473/~37961 | ✓9125 | ✗   4] ✓ tests/gateway/test_feishu_sdk_executor.py (7✓, 7.6s)
[ 22.4% |  8502/~37961 | ✓9154 | ✗   4] ✓ tests/gateway/test_external_drain_control.py (29✓, 13.5s)
[ 22.4% |  8503/~37961 | ✓9155 | ✗   4] ✓ tests/gateway/test_goal_max_turns_config.py (1✓, 2.3s)
[ 22.5% |  8543/~37961 | ✓9195 | ✗   4] ✓ tests/gateway/test_dm_topics.py (40✓, 17.4s)
[ 22.5% |  8550/~37961 | ✓9202 | ✗   4] ✓ tests/gateway/test_gateway_process_exit.py (7✓, 4.4s)
[ 22.5% |  8553/~37961 | ✓9205 | ✗   4] ✓ tests/gateway/test_goal_status_notice.py (3✓, 2.9s)
[ 22.5% |  8559/~37961 | ✓9211 | ✗   4] ✓ tests/gateway/test_gateway_silence_tokens.py (6✓, 4.0s)
[ 22.6% |  8562/~37961 | ✓9214 | ✗   4] ✓ tests/gateway/test_handoff_watcher_async_db.py (3✓, 2.9s)
[ 22.7% |  8600/~37961 | ✓9252 | ✗   4] ✓ tests/gateway/test_discord_slash_commands.py (38✓, 20.8s)
[ 22.8% |  8659/~37961 | ✓9311 | ✗   4] ✓ tests/gateway/test_discord_free_response.py (59✓, 24.8s)
[ 22.8% |  8664/~37961 | ✓9316 | ✗   4] ✓ tests/gateway/test_goal_verdict_send.py (5✓, 4.2s)
[ 22.8% |  8666/~37961 | ✓9318 | ✗   4] ✓ tests/gateway/test_image_input_routing_runtime.py (2✓, 2.6s)
[ 22.9% |  8686/~37961 | ✓9338 | ✗   4] ✓ tests/gateway/test_feishu_comment.py (20✓, 12.9s)
[ 22.9% |  8688/~37961 | ✓9340 | ✗   4] ✓ tests/gateway/test_internal_event_never_interrupts_busy_session.py (2✓, 2.7s)
[ 23.0% |  8740/~37961 | ✓9392 | ✗   4] ✓ tests/gateway/test_display_config.py (52✓, 21.6s)
[ 23.0% |  8747/~37961 | ✓9399 | ✗   4] ✓ tests/gateway/test_home_target_env_var.py (7✓, 4.7s)
[ 23.0% |  8750/~37961 | ✓9402 | ✗   4] ✓ tests/gateway/test_kanban_notifier_watcher_dispatch_gate.py (3✓, 2.9s)
[ 23.1% |  8759/~37961 | ✓9411 | ✗   4] ✓ tests/gateway/test_internal_event_bypass_pairing.py (9✓, 5.1s)
[ 23.1% |  8765/~37961 | ✓9417 | ✗   4] ✓ tests/gateway/test_interrupt_key_match.py (6✓, 3.9s)
[ 23.1% |  8769/~37961 | ✓9421 | ✗   4] ✓ tests/gateway/test_kanban_watchers_mixin.py (4✓, 3.2s)
[ 23.1% |  8770/~37961 | ✓9422 | ✗   4] ✓ tests/gateway/test_load_transcript_db_only.py (1✓, 1.9s)
[ 23.2% |  8797/~37961 | ✓9449 | ✗   4] ✓ tests/gateway/test_feishu_onboard.py (27✓, 14.7s)
[ 23.2% |  8801/~37961 | ✓9461 | ✗   4] ✓ tests/gateway/test_insights_unicode_flags.py (12✓, 6.0s)
[ 23.2% |  8808/~37961 | ✓9468 | ✗   4] ✓ tests/gateway/test_kanban_auto_decompose_live.py (7✓, 4.1s)
[ 23.2% |  8811/~37961 | ✓9494 | ✗   4] ✓ tests/gateway/test_gateway_command_line_matcher.py (26✓, 11.3s)
[ 23.3% |  8856/~37961 | ✓9542 | ✗   4] ✓ tests/gateway/test_extract_local_files.py (48✓, 20.0s)
[ 23.4% |  8886/~37961 | ✓9572 | ✗   4] ✓ tests/gateway/test_feishu_comment_rules.py (30✓, 16.6s)
[ 23.4% |  8893/~37961 | ✓9579 | ✗   4] ✓ tests/gateway/test_kanban_notifier.py (7✓, 4.6s)
[ 23.4% |  8900/~37961 | ✓9579 | ✗   4] ✓ tests/gateway/test_matrix_voice.py (1s, 1.1s)
[ 23.5% |  8938/~37961 | ✓9617 | ✗   4] ✓ tests/gateway/test_feishu_approval_buttons.py (38✓, 19.3s)
[ 23.6% |  8940/~37961 | ✓9619 | ✗   4] ✓ tests/gateway/test_matrix_exec_approval.py (2✓, 2.6s)
[ 23.6% |  8944/~37961 | ✓9623 | ✗   4] ✓ tests/gateway/test_matrix_approval_reaction_fail_closed.py (4✓, 3.2s)
[ 23.6% |  8965/~37961 | ✓9644 | ✗   4] ✓ tests/gateway/test_hooks.py (21✓, 9.6s)
[ 23.6% |  8970/~37961 | ✓9649 | ✗   4] ✓ tests/gateway/test_max_concurrent_sessions.py (5✓, 3.9s)
[ 23.6% |  8973/~37961 | ✓9652 | ✗   4] ✓ tests/gateway/test_mcp_reload_refreshes_cached_agents.py (3✓, 3.9s)
[ 23.7% |  8979/~37961 | ✓9658 | ✗   4] ✓ tests/gateway/test_max_tokens_propagation.py (6✓, 4.2s)
[ 23.7% |  8988/~37961 | ✓9672 | ✗   4] ✓ tests/gateway/test_loop_exception_handler.py (14✓, 6.8s)
[ 23.9% |  9082/~37961 | ✓9766 | ✗   4] ✓ tests/gateway/test_config.py (94✓, 47.0s)
[ 24.0% |  9094/~37961 | ✓9778 | ✗   4] ✓ tests/gateway/test_matrix_dm_invite_recording.py (12✓, 6.5s)
[ 24.0% |  9102/~37961 | ✓9786 | ✗   4] ✓ tests/gateway/test_message_deduplicator.py (8✓, 4.3s)
[ 24.0% |  9107/~37961 | ✓9791 | ✗   4] ✓ tests/gateway/test_keep_typing_timeout.py (5✓, 10.3s)
[ 24.0% |  9110/~37961 | ✓9794 | ✗   4] ✓ tests/gateway/test_model_command_async_offload.py (3✓, 2.8s)
[ 24.0% |  9114/~37961 | ✓9798 | ✗   4] ✓ tests/gateway/test_moa_one_shot_restore.py (4✓, 3.3s)
[ 24.0% |  9124/~37961 | ✓9807 | ✗   5] ✗ tests/gateway/test_memory_monitor.py (9✓ 1✗, 5.6s)

  ╔╍ Failed: tests/gateway/test_memory_monitor.py ╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍
  ║     def test_periodic_timer_fires(caplog):
  ║         caplog.set_level(logging.INFO, logger="gateway.memory_monitor")
  ║         # Short interval so we can observe multiple ticks inside the test budget.
  ║         mm.start_memory_monitoring(interval_seconds=0.1)
  ║         time.sleep(0.45)
  ║         mm.stop_memory_monitoring(timeout=1.0)
  ║     
  ║         periodic = [
  ║             r for r in caplog.records
  ║             if r.getMessage().startswith("[MEMORY] rss=") or r.getMessage().startswith("[MEMORY] rss=unavailable")
  ║         ]
  ║         # baseline + at least 2 periodic + shutdown — but shutdown has the
  ║         # "shutdown " prefix so it won't match the strict "[MEMORY] rss=" start.
  ║         # We expect >= 3 bare "[MEMORY] rss=..." lines.
  ║ >       assert len(periodic) >= 3, [r.getMessage() for r in caplog.records]
  ║ E       AssertionError: ['[MEMORY] baseline rss=51MB gc=(278, 4, 1) threads=1 uptime=0s', '[MEMORY] Periodic memory monitoring started (interv...me=0s', '[MEMORY] shutdown rss=51MB gc=(313, 4, 1) threads=2 uptime=0s', '[MEMORY] Periodic memory monitoring stopped']
  ║ E       assert 2 >= 3
  ║ E        +  where 2 = len([<LogRecord: gateway.memory_monitor, 20, /Users/abbhinnav/Developer/products/hermes-mobile/gateway/memory_monitor.py, ...av/Developer/products/hermes-mobile/gateway/memory_monitor.py, 119, "[MEMORY] %srss=%dMB gc=%s threads=%d uptime=%ds">])
  ║ 
  ║ tests/gateway/test_memory_monitor.py:104: AssertionError
  ║ ------------------------------ Captured log call -------------------------------
  ║ INFO     gateway.memory_monitor:memory_monitor.py:119 [MEMORY] baseline rss=51MB gc=(278, 4, 1) threads=1 uptime=0s
  ║ INFO     gateway.memory_monitor:memory_monitor.py:189 [MEMORY] Periodic memory monitoring started (interval: 0s)
  ║ INFO     gateway.memory_monitor:memory_monitor.py:119 [MEMORY] rss=51MB gc=(302, 4, 1) threads=2 uptime=0s
  ║ INFO     gateway.memory_monitor:memory_monitor.py:119 [MEMORY] rss=51MB gc=(306, 4, 1) threads=2 uptime=0s
  ║ INFO     gateway.memory_monitor:memory_monitor.py:119 [MEMORY] shutdown rss=51MB gc=(313, 4, 1) threads=2 uptime=0s
  ║ INFO     gateway.memory_monitor:memory_monitor.py:224 [MEMORY] Periodic memory monitoring stopped
  ║ =========================== short test summary info ============================
  ║ FAILED tests/gateway/test_memory_monitor.py::test_periodic_timer_fires - Asse...
  ║ ========================= 1 failed, 9 passed in 4.90s ==========================
  ║
  ║  Repro: python -m pytest tests/gateway/test_memory_monitor.py
  ╚╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍╍

[ 24.1% |  9132/~37961 | ✓9815 | ✗   5] ✓ tests/gateway/test_message_timestamps.py (8✓, 4.9s)
[ 24.1% |  9138/~37961 | ✓9821 | ✗   5] ✓ tests/gateway/test_mixed_attachment_routing.py (6✓, 4.0s)
[ 24.1% |  9153/~37961 | ✓9836 | ✗   5] ✓ tests/gateway/test_media_extraction.py (15✓, 7.3s)
[ 24.2% |  9172/~37961 | ✓9855 | ✗   5] ✓ tests/gateway/test_matrix_project_context_isolation.py (19✓, 9.2s)
[ 24.2% |  9177/~37961 | ✓9860 | ✗   5] ✓ tests/gateway/test_model_command_expensive_confirm.py (5✓, 3.7s)
[ 24.2% |  9179/~37961 | ✓9863 | ✗   5] ✓ tests/gateway/test_model_picker_persist.py (3✓, 2.8s)
[ 24.2% |  9184/~37961 | ✓9868 | ✗   5] ✓ tests/gateway/test_model_command_flat_string_config.py (5✓, 3.6s)
[ 24.2% |  9186/~37961 | ✓9870 | ✗   5] ✓ tests/gateway/test_model_command_custom_providers.py (2✓, 5.7s)
[ 24.3% |  9212/~37961 | ✓9933 | ✗   5] ✓ tests/gateway/test_feishu_bot_admission.py (63✓, 28.0s)
[ 24.3% |  9227/~37961 | ✓9948 | ✗   5] ✓ tests/gateway/test_mirror.py (15✓, 7.0s)
[ 24.3% |  9229/~37961 | ✓9962 | ✗   5] ✓ tests/gateway/test_media_metadata_contract.py (14✓ 2s, 10.0s)
[ 24.3% |  9238/~37961 | ✓9971 | ✗   5] ✓ tests/gateway/test_model_switch_persistence.py (9✓, 4.7s)
[ 24.4% |  9245/~37961 | ✓9978 | ✗   5] ✓ tests/gateway/test_multiplex_http_routing.py (7✓, 4.0s)
[ 24.4% |  9248/~37961 | ✓9981 | ✗   5] ✓ tests/gateway/test_native_image_buffer_isolation.py (3✓, 2.7s)
[ 24.4% |  9256/~37961 | ✓9989 | ✗   5] ✓ tests/gateway/test_multiplex_lifecycle.py (8✓, 4.3s)
[ 24.4% |  9259/~37961 | ✓9992 | ✗   5] ✓ tests/gateway/test_new_clears_last_resolved_model.py (3✓, 2.7s)
[ 24.4% |  9267/~37961 | ✓10000 | ✗    5] ✓ tests/gateway/test_gateway_inactivity_timeout.py (8✓, 23.7s)
[ 24.4% |  9270/~37961 | ✓10003 | ✗    5] ✓ tests/gateway/test_notice_delivery.py (3✓, 2.7s)
[ 24.4% |  9276/~37961 | ✓10009 | ✗    5] ✓ tests/gateway/test_multiplex_profile_authz.py (6✓, 3.9s)
[ 24.5% |  9287/~37961 | ✓10020 | ✗    5] ✓ tests/gateway/test_multiplex_adapter_registry.py (11✓, 5.8s)
[ 24.5% |  9297/~37961 | ✓10030 | ✗    5] ✓ tests/gateway/test_multiplex_credential_isolation.py (10✓, 5.4s)
[ 24.6% |  9342/~37961 | ✓10075 | ✗    5] ✓ tests/gateway/test_homeassistant.py (45✓, 21.0s)
[ 24.7% |  9378/~37961 | ✓10111 | ✗    5] ✓ tests/gateway/test_media_download_retry.py (36✓, 14.6s)
[ 24.8% |  9422/~37961 | ✓10155 | ✗    5] ✓ tests/gateway/test_irc_adapter.py (44✓, 19.9s)
[ 24.8% |  9425/~37961 | ✓10158 | ✗    5] ✓ tests/gateway/test_pending_drain_race.py (3✓, 2.9s)
